iter	Passed	Remaining
837	37116	7175
838	37187	7136
839	37252	7095
840	37314	7054
841	37381	7014
842	37449	6974
843	37515	6934
844	37587	6894
845	37644	6852
846	37715	6812
847	37853	6784
848	37920	6744
849	37990	6704
850	38061	6664
851	38131	6623
852	38204	6583
853	38275	6543
854	38340	6502
855	38411	6461
856	38482	6421
857	38550	6380
858	38613	6338
859	38763	6310
860	38853	6272
861	38952	6235
862	39009	6192
863	39071	6150
864	39278	6130
865	39352	6089
866	39414	6046
867	39474	6003
868	39537	5960
869	39637	5922
870	39722	5883
871	39822	5845
872	39896	5803
873	39958	5760
874	40021	5717
875	40121	5679
876	40160	5632
877	40193	5584
878	40226	5537
879	40258	5489
880	40288	5441
881	40322	5394
882	40352	5346
883	40382	5299
884	40412	5251
885	40440	5203
886	40468	5155
887	40502	5108
888	40532	5060
889	40565	5013
890	40597	4966
891	40630	4919
892	40662	4872
893	40697	4825
894	40732	4778
895	40770	4732
896	40808	4685
897	40852	4640
898	40899	4594
899	40933	4548
900	40967	4501
901	40999	4454
902	41040	4408
903	41081	4362
904	41117	4316
905	41150	4269
906	41187	4223
907	41225	4176
908	41262	4130
909	41298	4084
910	41333	4038
911	41371	3991
912	41406	3945
913	41440	3899
914	41473	3852
915	41509	3806
916	41547	3760
917	41586	3714
918	41622	3668
919	41653	3622
920	41685	3575
921	41716	3529
922	41746	3482
923	41780	3436
924	41812	3390
925	41847	3344
926	41878	3297
927	41908	3251
928	41941	3205
929	41972	3159
930	42002	3112
931	42037	3067
932	42068	3020
933	42098	2974
934	42139	2929
935	42173	2883
936	42208	2837
937	42243	2792
938	42278	2746
939	42308	2700
940	42341	2654
941	42373	2608
942	42403	2563
943	42435	2517
944	42465	2471
945	42499	2425
946	42531	2380
947	42566	2334
948	42598	2289
949	42631	2243
950	42662	2198
951	42694	2152
952	42727	2107
953	42759	2061
954	42789	2016
955	42823	1970
956	42854	1925
957	42884	1880
958	42914	1834
959	42944	1789
960	42976	1744
961	43005	1698
962	43036	1653
963	43071	1608
964	43103	1563
965	43134	1518
966	43168	1473
967	43199	1428
968	43233	1383
969	43263	1338
970	43295	1293
971	43329	1248
972	43359	1203
973	43390	1158
974	43423	1113
975	43454	1068
976	43485	1023
977	43516	978
978	43546	934
979	43580	889
980	43612	844
981	43642	799
982	43673	755
983	43703	710
984	43733	665
985	43765	621
986	43795	576
987	43832	532
988	43864	487
989	43897	443
990	43928	398
991	43959	354
992	43990	310
993	44020	265
994	44050	221
995	44082	177
996	44113	132
997	44145	88
998	44180	44
999	44213	0
